"District","Year","Median Age","Population","White","Black","Asian"
1,2008,41.5,443842,384024,337493,24148
2,2008,39.7,469582,392180,339751,17486
3,2008,39.9,459287,410515,360897,15018
4,2008,39.3,536793,478062,409480,9764
5,2008,36.7,498085,440902,335258,8317
6,2008,42.8,433034,367413,320871,4221
7,2008,38.4,453345,341756,237373,7027
8,2008,33.7,472487,370347,243241,6879
9,2008,33.1,424524,317750,144435,7479
10,2008,36.9,508384,426371,283412,7774
11,2008,36.5,445356,330727,195666,5551
12,2008,39.6,430294,375619,141428,2358
13,2008,37.5,444835,387772,229248,4225
14,2008,37.2,445394,374842,223377,3970
15,2008,38.3,591194,506921,352894,5729
16,2008,36.6,416812,334983,128934,5069
17,2008,30.1,510960,259950,154904,5750
18,2008,36.4,452969,337469,150356,4554
19,2008,40.2,433645,358676,199039,2484
20,2008,36.9,445046,383185,128734,3052
21,2008,39.9,432366,361083,258719,2519
22,2008,35.5,463391,402388,168667,2508
23,2008,32.7,433112,231291,72635,2512
24,2008,38.1,442181,355744,216370,3451
25,2008,39.1,475252,360320,307130,10771
26,2008,32.3,498043,301690,212745,6743
27,2008,39.5,424862,340895,283436,5074
28,2008,31,462750,166045,100924,3296
29,2008,32.8,510976,330045,242362,7488
30,2008,28.3,504729,164092,107978,4757
31,2008,27.9,487018,159907,82613,4609
32,2008,33,547084,360512,289915,9698
33,2008,35.7,469458,313115,270954,5667
34,2008,30.9,487193,261867,211780,10763
35,2008,34.3,451555,262885,220257,4094
36,2008,31.1,584284,341184,212534,7098
37,2008,39.4,459802,340381,281087,3685
38,2008,37.9,505909,383719,286959,3660
39,2008,30.4,442796,101707,50097,1542
40,2008,35.4,445711,257722,166211,2346
41,2008,39.6,446793,354464,290028,2789
42,2008,39.4,431038,398937,327333,2469
43,2008,38.5,421848,322043,243951,1946
44,2008,39.5,432575,312668,156150,2667
45,2008,33.3,406694,147923,63052,1709
46,2008,30.3,430224,75772,22380,1232
47,2008,34.6,430517,320741,137086,3172
48,2008,30.8,424914,198477,23494,2008
49,2008,37.4,418796,241288,38675,1220
50,2008,29.4,422607,71437,31685,1350
51,2008,33.2,427453,225286,56455,2681
52,2008,27,451939,126320,11061,1865
53,2008,39.5,438884,378042,259795,3119
54,2008,38.4,426146,313679,204333,3733
55,2008,33.5,429934,227975,75049,2858
56,2008,34.4,425338,183916,76580,2267
57,2008,32.9,428193,140405,61641,1841
58,2008,34.4,429216,117317,56825,1265
59,2008,37.7,481561,341654,263044,5334
60,2008,39,439072,324303,174793,2232
61,2008,30.5,441000,151997,82761,2409
62,2008,27.8,488817,142610,63489,3040
63,2008,33.3,514285,326190,211266,4249
64,2008,34.1,583532,373900,272075,5948
65,2008,34.5,611978,377437,284790,8706
66,2008,33.4,566937,342171,264699,8258
67,2008,39.7,429075,344037,242303,3492
68,2008,36.1,431683,303477,150679,2408
69,2008,29.1,412205,102933,43540,1283
70,2008,37.9,496195,433784,291897,2516
71,2008,35.7,543864,394456,290022,3498
72,2008,34.3,449140,263386,173997,2621
73,2008,35.5,444315,344126,283268,4028
74,2008,37,492971,357323,300204,3760
75,2008,36.7,493641,434757,287039,2998
76,2008,33.8,437975,352639,271419,4552
77,2008,37.4,444726,368303,307719,6866
78,2008,33.6,489221,322077,161674,3859
79,2008,31,447439,167745,90325,2974
80,2008,34.7,546875,195432,156885,5599
