"District","R25_2020","R31_2022","R40_2012","R48_2014","R67_2016","R72_2004","R94_2008","R95_2008","R96_2008","R97_2008","R30_2000","R31_2000"
1,1,1,NA,NA,1,0,0,NA,0,NA,0,0
2,1,1,NA,0,1,1,1,1,1,1,1,1
3,1,NA,NA,1,1,1,1,1,1,1,1,1
4,0,1,NA,NA,1,1,NA,NA,NA,NA,1,1
5,1,NA,NA,0,1,1,1,1,1,1,NA,1
6,1,NA,NA,1,1,1,1,1,1,1,1,NA
7,0,1,NA,0,1,1,0,1,0,0,0,0
8,1,1,NA,0,1,1,0,0,0,0,0,0
9,1,1,NA,NA,0,1,NA,NA,NA,NA,0,0
10,1,1,NA,1,1,1,1,1,1,1,1,1
11,0,NA,NA,NA,1,1,0,0,0,0,0,0
12,1,NA,NA,0,1,1,1,1,1,1,1,0
13,0,1,NA,NA,NA,1,1,1,1,1,1,0
14,1,1,NA,0,1,1,1,1,1,1,1,0
15,1,NA,NA,0,1,1,1,1,1,1,1,1
16,1,1,NA,0,1,1,1,1,1,1,NA,NA
17,1,1,NA,0,1,1,1,1,1,1,NA,0
18,1,1,NA,0,1,1,0,0,0,0,0,0
19,1,1,NA,0,1,1,0,1,0,0,0,1
20,1,1,NA,0,1,1,NA,NA,NA,NA,NA,1
21,1,NA,NA,0,1,0,1,1,1,1,1,1
22,1,1,NA,0,1,1,1,1,1,1,1,1
23,1,NA,NA,1,1,1,1,1,1,1,0,0
24,1,1,NA,1,1,1,1,1,1,1,0,0
25,1,1,NA,0,1,1,1,1,1,1,1,NA
26,1,NA,NA,0,1,1,1,1,1,1,1,1
27,1,1,NA,0,1,1,1,0,1,0,0,0
28,1,1,NA,0,1,1,1,1,1,1,0,0
29,1,1,NA,1,1,1,1,1,1,1,1,0
30,0,1,NA,NA,1,0,1,1,1,1,0,0
31,NA,1,NA,NA,1,NA,1,1,1,1,0,0
32,1,0,NA,NA,1,1,1,1,1,1,1,1
33,1,NA,NA,NA,1,1,1,1,1,1,0,0
34,1,NA,NA,NA,1,1,1,1,1,1,1,1
35,1,NA,NA,0,0,0,1,NA,1,NA,1,1
36,1,NA,NA,0,1,1,1,1,1,1,0,0
37,0,1,NA,NA,1,1,1,1,1,1,1,1
38,1,1,NA,NA,1,1,1,1,1,1,0,0
39,NA,1,NA,0,1,1,1,1,1,1,NA,1
40,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1
41,0,1,NA,NA,1,0,0,0,0,0,0,NA
42,1,1,NA,0,1,1,1,0,1,0,1,0
43,0,1,NA,1,1,1,1,NA,1,NA,0,0
44,0,1,NA,0,1,NA,NA,NA,NA,NA,0,0
45,0,1,NA,NA,1,1,1,NA,1,NA,0,0
46,0,1,NA,0,1,1,1,1,1,1,0,0
47,0,1,NA,NA,NA,1,1,1,1,1,0,0
48,NA,1,NA,NA,0,1,1,1,1,1,0,0
49,0,1,NA,0,1,1,NA,NA,NA,NA,0,0
50,1,1,NA,0,1,NA,1,NA,1,NA,0,0
51,0,1,NA,NA,1,1,1,NA,1,NA,0,0
52,NA,1,NA,NA,0,1,NA,NA,NA,NA,0,0
53,0,1,NA,0,1,0,1,1,1,1,NA,1
54,1,1,NA,0,1,0,1,NA,1,NA,0,0
55,1,NA,NA,1,1,1,NA,NA,NA,NA,0,0
56,0,1,NA,NA,1,1,1,1,1,1,0,0
57,0,1,NA,NA,0,1,NA,NA,NA,NA,0,0
58,1,1,NA,0,0,1,1,1,1,1,1,1
59,0,1,NA,0,1,1,1,1,1,1,NA,1
60,1,1,NA,1,1,1,1,1,1,1,0,0
61,0,1,NA,0,0,1,1,1,1,1,NA,1
62,1,1,NA,NA,1,1,1,1,1,1,0,0
63,0,1,NA,0,1,1,1,1,1,1,1,1
64,0,1,NA,0,NA,1,1,1,1,1,1,1
65,1,1,NA,0,1,1,1,1,1,1,0,0
66,0,1,NA,0,1,1,1,1,1,1,1,1
67,1,NA,NA,1,1,1,1,1,1,1,NA,1
68,1,NA,NA,NA,1,NA,1,1,1,1,0,0
69,NA,NA,NA,1,0,1,1,1,1,1,1,1
70,NA,1,NA,0,1,1,1,1,1,1,1,NA
71,1,NA,NA,NA,1,1,1,1,1,1,0,0
72,1,NA,NA,0,1,NA,1,1,1,1,1,1
73,1,0,NA,NA,1,1,1,1,1,1,0,0
74,1,1,NA,1,1,1,1,1,1,1,1,1
75,1,NA,NA,NA,1,1,1,1,1,1,0,0
76,NA,1,NA,0,0,1,NA,NA,NA,NA,1,1
77,1,1,NA,1,0,1,1,1,1,1,1,1
78,1,1,NA,NA,1,0,1,1,1,1,NA,1
79,0,1,NA,0,1,1,1,1,1,1,NA,1
80,0,1,NA,0,1,0,1,1,1,1,0,0
