"District","R90_2020","R88_2019","R74_2012"
1,1,0,1
2,1,0,1
3,1,0,1
4,1,1,1
5,1,0,0.5
6,0,1,1
7,1,1,1
8,1,1,1
9,1,1,1
10,0.5,0.5,0
11,1,0,1
12,1,0,1
13,1,1,1
14,1,0,1
15,1,0,1
16,1,1,0.5
17,0,1,0.5
18,0,1,1
19,0.5,1,0
20,NA,0,1
21,1,1,1
22,1,1,1
23,1,0,1
24,1,0,1
25,1,1,1
26,0,0,0.5
27,1,0,1
28,1,0,0
29,1,0,0.5
30,1,0,1
31,1,0,1
32,1,1,1
33,1,1,1
34,1,0,1
35,1,0,0
36,1,0,1
37,1,0,1
38,1,0,1
39,1,0,1
40,1,1,1
41,1,0,1
42,0.5,0.5,1
43,1,0,1
44,NA,1,0.5
45,1,1,1
46,1,0,1
47,1,1,0.5
48,1,1,1
49,1,0,1
